Goalie,Team,Date,Games,xGAE,Result,Impact
Lukas Dostal,ANA,"December 12, 2022", ANA at OTT,0.6600000000000001,L,Strong in Loss
Lukas Dostal,ANA,"December 13, 2022", ANA at TOR,-3.58,L,No Impact
Lukas Dostal,ANA,"December 15, 2022", ANA at MTL,-0.19999999999999996,W,Bad in Win
Lukas Dostal,ANA,"December 17, 2022", ANA at EDM,2.49,W,Goalie Win
Lukas Dostal,ANA,"December 20, 2022", ANA at L.A,-0.16000000000000014,L,No Impact
Lukas Dostal,ANA,"December 21, 2022", MIN at ANA,1.63,L,Strong in Loss
Lukas Dostal,ANA,"December 23, 2022", CGY at ANA,1.2300000000000004,L,Strong in Loss
Lukas Dostal,ANA,"February 15, 2023", BUF at ANA,-3.14,L,No Impact
Lukas Dostal,ANA,"February 21, 2023", ANA at T.B,-1.2800000000000002,L,No Impact
Lukas Dostal,ANA,"February 27, 2023", CHI at ANA,0.9100000000000001,W,No Impact
Lukas Dostal,ANA,"March 08, 2023", ANA at VAN,-0.04999999999999982,L,No Impact
Lukas Dostal,ANA,"March 17, 2023", CBJ at ANA,-0.009999999999999787,W,Bad in Win
Lukas Dostal,ANA,"March 23, 2023", WPG at ANA,0.6499999999999999,L,Strong in Loss
Lukas Dostal,ANA,"March 30, 2023", ANA at SEA,0.2999999999999998,L,Strong in Loss
Lukas Dostal,ANA,"April 01, 2023", ANA at EDM,-0.33999999999999997,L,No Impact
Lukas Dostal,ANA,"April 02, 2023", ANA at CGY,-1.23,L,Goalie Loss
Lukas Dostal,ANA,"April 05, 2023", EDM at ANA,1.1800000000000002,L,Strong in Loss
Lukas Dostal,ANA,"April 09, 2023", COL at ANA,0.6900000000000004,L,Strong in Loss
Lukas Dostal,ANA,"April 11, 2023", VAN at ANA,-0.45999999999999996,L,No Impact
John Gibson,ANA,"October 12, 2022", SEA at ANA,0.6399999999999997,W,No Impact
John Gibson,ANA,"October 15, 2022", ANA at NYI,-2.41,L,No Impact
John Gibson,ANA,"October 17, 2022", ANA at NYR,-2.31,L,Goalie Loss
John Gibson,ANA,"October 20, 2022", ANA at BOS,1.8599999999999999,L,Strong in Loss
John Gibson,ANA,"October 23, 2022", ANA at DET,-1.2400000000000002,L,No Impact
John Gibson,ANA,"October 26, 2022", T.B at ANA,-0.43000000000000016,L,No Impact
John Gibson,ANA,"October 28, 2022", ANA at VGK,-2.37,L,No Impact
John Gibson,ANA,"October 30, 2022", TOR at ANA,1.5,W,Goalie Win
John Gibson,ANA,"November 03, 2022", ANA at VAN,-3.39,L,Goalie Loss
John Gibson,ANA,"November 06, 2022", FLA at ANA,0.79,L,Strong in Loss
John Gibson,ANA,"November 09, 2022", MIN at ANA,-0.27,L,No Impact
John Gibson,ANA,"November 15, 2022", DET at ANA,1.17,W,Goalie Win
John Gibson,ANA,"November 17, 2022", ANA at WPG,0.8599999999999999,L,Strong in Loss
John Gibson,ANA,"November 19, 2022", ANA at STL,-2.99,L,No Impact
John Gibson,ANA,"November 21, 2022", ANA at STL,1.4100000000000001,L,Strong in Loss
John Gibson,ANA,"November 23, 2022", NYR at ANA,2.87,W,Goalie Win
John Gibson,ANA,"November 27, 2022", SEA at ANA,-2.92,L,Goalie Loss
John Gibson,ANA,"November 29, 2022", ANA at NSH,1.6600000000000001,L,Strong in Loss
John Gibson,ANA,"December 03, 2022", ANA at MIN,0.08000000000000007,L,Strong in Loss
John Gibson,ANA,"December 06, 2022", CAR at ANA,0.7799999999999998,W,No Impact
John Gibson,ANA,"December 09, 2022", S.J at ANA,-1.5499999999999998,L,No Impact
John Gibson,ANA,"December 13, 2022", ANA at TOR,1.0099999999999998,L,Strong in Loss
John Gibson,ANA,"December 28, 2022", VGK at ANA,2.54,W,Goalie Win
John Gibson,ANA,"December 30, 2022", NSH at ANA,-1.9100000000000001,L,No Impact
John Gibson,ANA,"January 02, 2023", PHI at ANA,-1.48,L,No Impact
John Gibson,ANA,"January 04, 2023", DAL at ANA,3.36,W,Goalie Win
John Gibson,ANA,"January 08, 2023", BOS at ANA,-3.62,L,No Impact
John Gibson,ANA,"January 11, 2023", EDM at ANA,-2.54,L,No Impact
John Gibson,ANA,"January 13, 2023", N.J at ANA,-2.18,L,No Impact
John Gibson,ANA,"January 16, 2023", ANA at PIT,1.83,L,Strong in Loss
John Gibson,ANA,"January 19, 2023", ANA at CBJ,1.66,W,No Impact
John Gibson,ANA,"January 21, 2023", ANA at BUF,-3.01,L,Goalie Loss
John Gibson,ANA,"January 26, 2023", ANA at COL,1.5499999999999998,W,No Impact
John Gibson,ANA,"January 28, 2023", ARI at ANA,2.95,W,Goalie Win
John Gibson,ANA,"February 06, 2023", ANA at DAL,3.49,L,Strong in Loss
John Gibson,ANA,"February 10, 2023", PIT at ANA,-0.16999999999999993,L,No Impact
John Gibson,ANA,"February 12, 2023", ANA at VGK,-3.54,L,No Impact
John Gibson,ANA,"February 17, 2023", L.A at ANA,-0.6500000000000004,L,No Impact
John Gibson,ANA,"February 20, 2023", ANA at FLA,1.25,L,Strong in Loss
John Gibson,ANA,"February 23, 2023", ANA at WSH,2.05,W,Goalie Win
John Gibson,ANA,"February 25, 2023", ANA at CAR,3.58,W,Goalie Win
John Gibson,ANA,"March 01, 2023", WSH at ANA,0.52,L,Strong in Loss
John Gibson,ANA,"March 03, 2023", MTL at ANA,0.3799999999999999,W,No Impact
